serveId,recipeId,retailName,retailPrice,hiddenCost,truePrice,labels,priceWithoutTax,valueAddedTax,smartValueAddedTax,smartPricingRounded,offsetting,isDecaf,hasMilk,milkType,coffeeDetails
"Café Blue Planet, Dallmayr",Café,Café Blue Planet Dallmayr,1.7,0.237,1.67,blue-planet|fairtrade|eu-organic,1.573,0.127,0.023,1.6,-0.262,False,False,none,"Simple, smooth, and oh-so-satisfying. Café is your cozy, everyday coffee, designed for those moments when you just need a warm hug in a cup. A friendly companion for any time of the day!"
"Café Macchiato Blue Planet, Dallmayr",Café Macchiato,Café Macchiato Blue Planet Dallmayr,1.8,0.291,1.83,blue-planet|fairtrade|eu-organic,1.665,0.135,0.029,1.7,-0.262,False,False,none,"A bold espresso with just a dash of milk foam on top. Strong, intense, and slightly creamy—the perfect middle ground between espresso and cappuccino."
"Café Macchiato Via Verde, Dallmayr",Café Macchiato,Café Macchiato Via Verde Dallmayr,1.7,0.248,1.82,via-verde|fairtrade|eu-organic,1.573,0.127,0.039,1.65,-0.129,False,False,none,"A bold espresso with just a dash of milk foam on top. Strong, intense, and slightly creamy—the perfect middle ground between espresso and cappuccino."
"Café Via Verde, Dallmayr",Café,Café Via Verde Dallmayr,1.6,0.194,1.67,via-verde|fairtrade|eu-organic,1.48,0.12,0.033,1.55,-0.129,False,False,none,"Simple, smooth, and oh-so-satisfying. Café is your cozy, everyday coffee, designed for those moments when you just need a warm hug in a cup. A friendly companion for any time of the day!"
"Café, Compass Machine",Café,Café Via Verde Compass Machine,1.5,0.194,1.57,via-verde|fairtrade|eu-organic,1.388,0.112,0.033,1.45,-0.129,False,False,none,"Simple, smooth, and oh-so-satisfying. Café is your cozy, everyday coffee, designed for those moments when you just need a warm hug in a cup. A friendly companion for any time of the day!"
"Café, Le Klee",Café,Café Via Verde Le Klee,1.6,0.194,1.67,via-verde|fairtrade|eu-organic,1.48,0.12,0.033,1.55,-0.129,False,False,none,"Simple, smooth, and oh-so-satisfying. Café is your cozy, everyday coffee, designed for those moments when you just need a warm hug in a cup. A friendly companion for any time of the day!"
"Cappuccino Blue Planet, Dallmayr",Cappuccino,Cappuccino Blue Planet Dallmayr,1.8,0.301,1.84,blue-planet|fairtrade|eu-organic,1.665,0.135,0.03,1.7,-0.262,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino Vanille Blue Planet, Dallmayr",Cappuccino,Cappuccino Vanille Blue Planet Dallmayr,1.8,0.356,1.89,blue-planet|fairtrade|eu-organic,1.665,0.135,0.036,1.7,-0.262,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino Vanille Via Verde, Dallmayr",Cappuccino,Cappuccino Vanille Via Verde Dallmayr,1.7,0.313,1.88,via-verde|fairtrade|eu-organic,1.573,0.127,0.045,1.65,-0.129,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino Via Verde, Dallmayr",Cappuccino,Cappuccino Via Verde Dallmayr,1.7,0.258,1.83,via-verde|fairtrade|eu-organic,1.573,0.127,0.04,1.65,-0.129,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
